0,2.2,2,,x (in G's),y (in G's),z (in G's)
363,2,2,,0.217865,-0.863525,-0.418243
364,2,2,,0.201508,-0.886093,-0.411713
365,2,2,,0.156647,-0.872757,-0.465561
366,1.8,2,,0.123123,-0.858505,-0.493393
367,1,1,,0.080032,-0.818329,-0.518341
368,2,2,,0.052124,-0.854141,-0.545593
369,2,2,,0.056427,-0.899323,-0.577255
370,2,2,,0.123306,-0.863281,-0.573425
371,2,2,,0.139816,-0.836105,-0.56839
372,2,2,,0.159592,-0.809204,-0.567383
373,2,2,,0.177521,-0.804092,-0.562332
374,2,2,,0.178299,-0.83197,-0.577911
375,2,2,,0.179474,-0.853836,-0.627991
376,2,2,,0.176514,-0.841095,-0.600601
377,2,2,,0.153488,-0.818161,-0.576157
378,2,2,,0.161636,-0.829468,-0.573044
379,2,2,,0.198669,-0.828674,-0.552795
380,2,2,,0.173889,-0.842163,-0.530182
381,2,2,,0.142639,-0.84523,-0.599594
382,2,2,,0.177536,-0.810593,-0.588501
383,2,2,,0.222763,-0.805725,-0.553558
384,2,2,,0.266769,-0.828476,-0.566971
385,2,2,,0.29715,-0.845093,-0.588654
386,2,2,,0.245483,-0.794296,-0.528671
387,2,2,,0.172058,-0.808136,-0.501602
388,2,2,,0.178345,-0.874237,-0.553802
389,2,2,,0.223068,-0.857941,-0.580032
390,2,2,,0.245346,-0.817947,-0.579056
391,2,2,,0.239853,-0.80751,-0.515747
392,2,2,,0.191452,-0.820129,-0.516968
393,2,2,,0.179642,-0.860748,-0.543503
394,2,2,,0.162643,-0.870956,-0.57431
395,2,2,,0.175644,-0.864563,-0.572113
396,2,2,,0.205948,-0.854889,-0.556229
397,2,2,,0.214325,-0.840759,-0.548935
398,2,2,,0.215927,-0.80545,-0.540482
399,2,2,,0.220459,-0.780701,-0.513351
400,2,2,,0.204727,-0.820114,-0.550751
401,2,2,,0.203262,-0.854401,-0.587387
402,2,2,,0.184021,-0.83931,-0.547348
403,2,2,,0.118881,-0.8526,-0.5737
404,2,2,,0.111832,-0.826965,-0.563965
405,2.2,2,,0.14798,-0.824585,-0.552826
406,2,2,,0.189117,-0.831161,-0.548798
407,2,2,,0.181961,-0.871552,-0.570602
408,2,2,,0.161636,-0.848053,-0.561478
409,2,2,,0.137085,-0.83519,-0.556763
410,2,2,,0.126663,-0.833771,-0.539536
411,2,2,,0.142334,-0.85849,-0.586151
412,2,2,,0.142471,-0.84314,-0.579315
413,2,2,,0.121918,-0.839981,-0.527969
414,2,2,,0.110321,-0.856644,-0.520309
415,2,2,,0.114944,-0.856277,-0.519394
416,2,2,,0.106705,-0.846146,-0.515228
417,2,2,,0.109802,-0.847076,-0.533646
418,2,2,,0.115631,-0.850739,-0.494965
419,2,2,,0.106079,-0.872345,-0.486298
420,2,2,,0.108307,-0.908585,-0.528976
421,2,2,,0.099762,-0.882019,-0.533066
422,2,2,,0.114334,-0.856781,-0.485443
423,2,2,,0.091339,-0.879135,-0.468185
424,2,2,,0.114441,-0.872711,-0.504898
425,2,2,,0.122253,-0.847656,-0.505447
426,2,2,,0.102859,-0.842148,-0.483627
427,2,2,,0.110748,-0.861862,-0.519257
428,2,2,,0.116776,-0.856415,-0.525909
429,2,2,,0.124329,-0.855881,-0.529922
430,2,2,,0.120834,-0.879715,-0.565811
431,2,2,,0.128647,-0.843719,-0.560455
432,2,2,,0.106857,-0.816055,-0.539062
433,2,2,,0.093033,-0.81369,-0.527222
434,2,2,,0.101166,-0.837479,-0.568527
435,2,2,,0.12558,-0.841812,-0.589935
436,2,2,,0.115387,-0.830826,-0.586243
437,2,2,,0.123306,-0.82518,-0.573547
438,2,2,,0.12178,-0.84375,-0.578568
439,2,2,,0.110947,-0.854752,-0.608276
440,2,2,,0.093719,-0.839462,-0.594162
441,2,2,,0.07016,-0.788483,-0.54213
442,2,2,,0.076981,-0.826599,-0.555588
443,2,2,,0.087341,-0.837189,-0.582794
444,2,2,,0.111938,-0.835907,-0.599411
